email_id,email_length,word_count,html_ratio,url_count,ip_count,attachment_count,urgency_keyword_count,credential_request_flag,financial_request_flag,is_shortened_url_present,label
EML-2026-00001,707,123,0.6514,1,0,0,0,0,0,0,0
EML-2026-00002,430,73,0.6418,4,0,0,3,1,1,1,1
EML-2026-00003,868,146,0.5704,3,0,0,1,0,1,0,1
EML-2026-00004,1039,172,0.1097,1,3,0,0,1,1,1,1
EML-2026-00005,642,119,0.692,0,0,1,1,0,1,0,0
EML-2026-00006,778,155,0.4196,0,0,1,0,0,1,0,0
EML-2026-00007,715,117,0.9012,1,0,0,0,0,0,0,0
EML-2026-00008,473,81,0.7953,0,1,1,1,1,1,0,1
EML-2026-00009,1029,164,0.5995,4,0,1,4,1,0,1,1
EML-2026-00010,699,112,0.3144,2,0,0,1,1,0,1,1
EML-2026-00011,855,136,0.2732,2,0,0,0,1,0,0,0
EML-2026-00012,990,172,0.3893,1,1,0,3,0,0,1,1
EML-2026-00013,586,106,0.5051,1,1,0,6,1,1,0,1
EML-2026-00014,554,89,0.3517,1,0,0,0,0,0,0,0
EML-2026-00015,583,102,0.5377,2,0,0,0,0,0,0,0
EML-2026-00016,1052,199,0.2406,1,0,0,0,0,0,0,0
EML-2026-00017,458,72,0.9311,1,0,0,0,1,1,0,0
EML-2026-00018,1175,185,0.1917,4,1,1,0,0,0,0,1
EML-2026-00019,712,124,0.8922,2,1,0,0,0,0,0,0
EML-2026-00020,732,143,0.8765,1,0,1,0,0,0,0,0
EML-2026-00021,973,174,0.5466,4,0,0,0,0,1,0,1
EML-2026-00022,681,109,0.7162,1,0,0,1,0,0,0,0
EML-2026-00023,984,154,0.4706,1,0,1,0,0,0,0,0
EML-2026-00024,536,101,0.6355,1,0,0,0,0,0,0,0
EML-2026-00025,1110,217,0.3895,1,0,0,2,0,0,0,0
EML-2026-00026,602,95,0.356,1,0,1,1,0,1,0,1
EML-2026-00027,1127,201,0.5915,1,0,0,3,0,0,1,0
EML-2026-00028,607,104,0.5234,0,1,0,2,0,1,0,1
EML-2026-00029,640,99,0.5926,3,0,0,1,0,1,0,1
EML-2026-00030,437,85,0.3437,0,0,1,1,0,0,0,0
EML-2026-00031,533,89,0.4119,0,0,0,1,1,0,1,1
EML-2026-00032,651,127,0.1713,2,0,0,1,0,0,0,0
EML-2026-00033,722,129,0.1444,0,0,0,0,0,0,0,0
EML-2026-00034,1005,161,0.3154,5,0,0,0,0,0,0,1
EML-2026-00035,656,116,0.1631,4,0,1,5,0,1,0,1
EML-2026-00036,466,71,0.1882,2,1,0,2,0,0,0,1
EML-2026-00037,765,131,0.791,0,0,0,1,0,0,0,0
EML-2026-00038,704,128,0.133,2,0,0,0,1,0,0,0
EML-2026-00039,847,158,0.6601,2,0,1,1,1,0,1,1
EML-2026-00040,510,92,0.3317,0,0,0,0,0,0,0,0
EML-2026-00041,533,95,0.8408,0,0,1,0,0,0,0,0
EML-2026-00042,510,99,0.5122,0,0,1,0,0,1,0,0
EML-2026-00043,1028,185,0.3597,0,0,0,0,0,0,0,0
EML-2026-00044,1164,204,0.54,1,0,0,4,1,0,1,1
EML-2026-00045,524,86,0.4247,0,0,0,1,0,0,0,0
EML-2026-00046,578,96,0.5797,2,0,1,2,0,1,1,1
EML-2026-00047,840,138,0.1974,1,1,0,0,0,0,0,0
EML-2026-00048,1214,242,0.9474,1,1,0,1,1,0,1,1
EML-2026-00049,1316,247,0.4617,0,0,1,3,1,1,1,1
EML-2026-00050,515,85,0.396,1,2,0,0,0,1,0,0
EML-2026-00051,615,107,0.7037,3,1,0,0,1,1,0,1
EML-2026-00052,787,157,0.4093,0,0,0,2,1,0,0,1
EML-2026-00053,801,129,0.8083,0,1,0,1,1,1,0,1
EML-2026-00054,665,107,0.4861,1,1,1,0,1,0,0,1
EML-2026-00055,527,90,0.7116,1,0,0,0,1,0,0,1
EML-2026-00056,701,137,0.1913,3,2,0,3,0,1,1,1
EML-2026-00057,1265,205,0.8192,0,0,1,0,0,0,0,0
EML-2026-00058,536,91,0.7254,0,0,0,0,0,0,0,0
EML-2026-00059,720,116,0.28,0,0,2,0,0,0,0,0
EML-2026-00060,1603,261,0.2235,1,1,2,0,0,0,1,0
EML-2026-00061,533,85,0.3688,0,0,0,1,0,0,0,0
EML-2026-00062,856,148,0.9297,3,0,0,1,0,0,0,0
EML-2026-00063,1338,256,0.3183,2,0,1,1,1,0,0,1
EML-2026-00064,827,137,0.4877,0,1,0,0,0,0,0,0
EML-2026-00065,999,168,0.1255,1,0,0,0,0,1,0,0
EML-2026-00066,950,155,0.4376,2,0,1,1,0,1,1,1
EML-2026-00067,802,152,0.5856,0,0,0,0,0,0,0,0
EML-2026-00068,1150,217,0.9102,1,0,1,0,0,1,1,1
EML-2026-00069,845,133,0.5392,0,0,0,0,0,0,0,0
EML-2026-00070,667,108,0.7962,4,2,0,1,1,0,0,1
EML-2026-00071,748,117,0.5651,1,0,0,0,1,0,0,1
EML-2026-00072,761,123,0.1347,0,0,2,0,0,0,0,0
EML-2026-00073,564,95,0.3678,2,0,0,0,0,0,0,0
EML-2026-00074,761,127,0.5892,2,0,1,0,0,0,0,1
EML-2026-00075,722,113,0.908,1,1,0,1,0,1,1,1
EML-2026-00076,894,152,0.8303,5,0,0,1,1,0,0,1
EML-2026-00077,1478,248,0.2941,3,2,0,1,0,1,0,1
EML-2026-00078,727,138,0.2871,1,0,0,1,0,0,1,0
EML-2026-00079,1176,205,0.271,1,0,0,1,0,1,0,0
EML-2026-00080,832,136,0.8841,2,0,0,0,0,1,0,0
EML-2026-00081,759,140,0.8248,1,0,0,2,0,0,0,1
EML-2026-00082,602,113,0.7587,1,0,1,1,1,0,0,1
EML-2026-00083,711,129,0.4338,0,1,0,0,1,0,0,0
EML-2026-00084,695,129,0.5287,1,0,2,0,0,1,0,0
EML-2026-00085,497,93,0.4947,2,0,0,0,0,0,0,0
EML-2026-00086,527,93,0.3154,1,0,0,0,1,0,0,0
EML-2026-00087,813,127,0.5293,1,1,0,1,0,0,0,1
EML-2026-00088,1221,211,0.1259,5,0,0,2,1,0,1,1
EML-2026-00089,693,131,0.212,3,0,0,3,0,1,0,1
EML-2026-00090,362,70,0.8536,1,0,0,1,0,0,0,0
EML-2026-00091,261,43,0.7389,0,0,0,1,0,0,0,0
EML-2026-00092,484,86,0.4594,3,1,1,1,1,0,0,1
EML-2026-00093,914,146,0.5396,1,0,0,2,0,0,1,1
EML-2026-00094,439,73,0.4145,3,0,1,1,1,1,0,1
EML-2026-00095,967,156,0.7297,5,2,0,3,0,0,0,1
EML-2026-00096,846,156,0.7666,0,0,0,0,0,1,0,0
EML-2026-00097,684,113,0.7488,1,0,0,1,1,0,0,1
EML-2026-00098,350,64,0.7142,1,0,0,0,0,0,0,0
EML-2026-00099,499,77,0.2738,0,0,0,0,1,0,0,0
EML-2026-00100,599,100,0.3873,0,0,0,0,0,1,0,0
EML-2026-00101,756,137,0.4994,1,1,0,0,0,1,0,0
EML-2026-00102,444,82,0.3812,1,0,0,1,1,0,0,1
EML-2026-00103,1123,212,0.7417,2,0,0,0,1,0,1,0
EML-2026-00104,803,132,0.38,1,1,0,1,1,1,1,1
EML-2026-00105,836,156,0.2175,3,0,0,0,0,1,1,1
EML-2026-00106,843,143,0.4392,1,0,2,1,0,0,0,0
EML-2026-00107,1080,200,0.9329,0,0,1,0,0,0,0,0
EML-2026-00108,762,127,0.292,5,0,0,3,0,1,0,1
EML-2026-00109,864,138,0.6203,2,0,1,0,0,0,0,0
EML-2026-00110,502,81,0.468,0,0,1,0,0,0,0,0
EML-2026-00111,1268,206,0.1604,0,0,0,0,0,0,0,0
EML-2026-00112,693,131,0.5147,0,0,0,2,0,0,1,0
EML-2026-00113,551,107,0.6968,1,0,2,0,0,1,0,1
EML-2026-00114,602,99,0.5362,3,2,0,1,1,1,1,1
EML-2026-00115,349,62,0.8413,0,0,1,0,1,1,0,1
EML-2026-00116,600,106,0.3456,0,1,0,1,1,1,0,1
EML-2026-00117,287,56,0.1733,1,0,0,3,1,1,0,1
EML-2026-00118,889,164,0.8961,0,0,0,0,0,0,0,0
EML-2026-00119,827,163,0.4215,2,0,0,1,0,0,0,1
EML-2026-00120,494,78,0.5899,0,0,1,1,1,0,1,1
EML-2026-00121,697,129,0.7732,4,1,2,0,1,0,0,1
EML-2026-00122,709,121,0.3757,2,0,0,0,1,0,0,1
EML-2026-00123,410,81,0.7087,1,1,0,1,0,0,0,0
EML-2026-00124,604,100,0.2151,4,0,1,0,0,0,0,0
EML-2026-00125,666,121,0.3476,1,0,0,0,0,0,0,0
EML-2026-00126,598,94,0.223,0,0,0,1,0,0,0,0
EML-2026-00127,551,87,0.7895,2,0,0,0,1,0,0,1
EML-2026-00128,488,88,0.2893,2,0,1,4,1,0,0,1
EML-2026-00129,590,92,0.7098,1,0,1,0,0,0,0,0
EML-2026-00130,574,88,0.9018,3,1,0,0,0,1,0,1
EML-2026-00131,821,131,0.5486,0,0,0,0,0,0,0,0
EML-2026-00132,1106,176,0.559,3,0,2,0,0,0,0,0
EML-2026-00133,935,174,0.4919,2,0,0,1,0,0,0,0
EML-2026-00134,675,115,0.377,1,0,0,0,0,0,0,0
EML-2026-00135,558,109,0.5043,1,1,0,3,0,1,0,1
EML-2026-00136,925,179,0.6124,1,0,1,0,0,1,0,0
EML-2026-00137,891,137,0.9381,1,1,0,1,1,1,0,1
EML-2026-00138,1125,204,0.8971,2,0,0,3,1,0,0,1
EML-2026-00139,712,116,0.8328,1,0,0,1,0,0,0,0
EML-2026-00140,1291,207,0.8558,1,1,0,2,0,0,0,1
EML-2026-00141,762,121,0.4977,3,0,0,0,1,1,0,1
EML-2026-00142,507,78,0.6588,3,0,0,0,0,1,0,0
EML-2026-00143,543,101,0.8608,1,0,0,0,0,0,0,0
EML-2026-00144,806,159,0.434,0,0,0,0,0,1,0,0
EML-2026-00145,524,93,0.9175,0,0,0,1,0,0,0,0
EML-2026-00146,1237,238,0.4534,1,0,0,2,0,1,0,0
EML-2026-00147,830,164,0.6109,1,0,1,1,1,1,0,1
EML-2026-00148,719,129,0.7033,6,1,1,0,1,0,0,1
EML-2026-00149,691,111,0.908,2,0,0,0,0,0,0,0
EML-2026-00150,595,101,0.3079,0,0,1,1,0,0,0,0
EML-2026-00151,379,69,0.7342,3,1,0,3,1,0,1,1
EML-2026-00152,543,90,0.5427,0,0,2,0,0,0,0,0
EML-2026-00153,1175,219,0.3283,2,0,0,0,0,0,1,0
EML-2026-00154,720,143,0.7601,1,0,0,0,1,0,0,0
EML-2026-00155,1027,167,0.5694,5,1,0,2,1,0,1,1
EML-2026-00156,988,166,0.6618,0,0,0,0,0,0,0,0
EML-2026-00157,700,113,0.3745,3,1,2,1,1,1,0,1
EML-2026-00158,896,177,0.5091,2,0,0,1,1,0,1,1
EML-2026-00159,342,54,0.6248,1,0,0,0,0,0,0,0
EML-2026-00160,1186,200,0.4442,2,1,0,1,0,1,1,1
EML-2026-00161,1099,188,0.2686,2,0,1,1,1,0,0,0
EML-2026-00162,848,142,0.9174,3,0,0,2,1,1,1,1
EML-2026-00163,780,123,0.5347,3,0,0,1,0,1,0,1
EML-2026-00164,703,119,0.7238,5,0,2,3,1,0,0,1
EML-2026-00165,1022,174,0.4494,0,0,0,0,0,0,0,0
EML-2026-00166,934,144,0.4019,2,0,0,1,0,0,0,1
EML-2026-00167,198,32,0.4461,2,0,1,0,1,0,0,0
EML-2026-00168,571,100,0.4478,0,0,0,0,0,1,0,0
EML-2026-00169,417,68,0.5626,0,0,0,0,0,0,0,0
EML-2026-00170,436,78,0.5619,3,1,0,0,0,1,0,1
EML-2026-00171,1068,199,0.5226,1,0,1,1,1,1,0,1
EML-2026-00172,647,109,0.2146,2,0,0,0,0,0,0,0
EML-2026-00173,842,131,0.5217,2,0,1,3,1,1,0,1
EML-2026-00174,680,106,0.2437,0,1,1,2,0,0,0,0
EML-2026-00175,438,79,0.2072,3,1,0,0,1,0,1,1
EML-2026-00176,345,59,0.8927,1,0,1,1,0,0,1,0
EML-2026-00177,606,113,0.6142,0,0,0,2,0,1,0,1
EML-2026-00178,574,88,0.6606,1,0,0,1,0,0,0,0
EML-2026-00179,624,96,0.4415,3,0,1,3,0,0,0,1
EML-2026-00180,580,97,0.8726,2,1,2,0,0,0,0,0
EML-2026-00181,1389,223,0.6422,1,0,0,0,0,1,0,0
EML-2026-00182,971,159,0.7538,1,0,0,0,0,0,0,0
EML-2026-00183,774,131,0.4133,3,1,0,1,1,0,0,1
EML-2026-00184,691,136,0.916,2,0,0,0,0,0,1,1
EML-2026-00185,650,114,0.7974,0,1,0,0,0,0,0,0
EML-2026-00186,922,153,0.8259,1,0,0,2,0,0,0,1
EML-2026-00187,689,114,0.2464,0,0,0,0,1,0,1,1
EML-2026-00188,982,176,0.3303,3,0,0,1,1,1,1,1
EML-2026-00189,804,125,0.3428,1,1,0,1,0,1,1,1
EML-2026-00190,1394,265,0.3303,2,0,1,1,0,0,0,0
EML-2026-00191,624,108,0.8271,0,0,1,0,0,0,1,0
EML-2026-00192,1049,173,0.1271,2,0,0,0,1,0,1,1
EML-2026-00193,481,79,0.1647,2,0,0,1,1,0,1,1
EML-2026-00194,563,94,0.3328,0,0,0,1,1,0,1,1
EML-2026-00195,1317,243,0.2699,1,0,0,0,0,0,0,0
EML-2026-00196,917,175,0.2971,0,0,0,0,1,0,0,0
EML-2026-00197,848,142,0.7783,1,1,1,1,1,1,0,1
EML-2026-00198,1592,269,0.5787,2,0,0,1,0,1,1,1
EML-2026-00199,695,131,0.1049,5,0,0,3,1,1,0,1
EML-2026-00200,1048,173,0.4649,6,1,0,3,1,0,0,1
EML-2026-00201,1077,189,0.4467,3,0,0,1,0,1,0,1
EML-2026-00202,1199,199,0.1969,1,0,0,1,0,1,0,0
EML-2026-00203,412,65,0.6747,0,0,2,0,0,0,0,0
EML-2026-00204,693,131,0.6968,1,0,0,2,0,0,1,1
EML-2026-00205,799,158,0.7128,3,2,0,5,1,1,0,1
EML-2026-00206,1191,193,0.7192,0,0,0,0,0,0,0,0
EML-2026-00207,785,132,0.1,0,0,1,1,0,0,0,0
EML-2026-00208,1078,178,0.9108,1,0,0,2,1,1,0,1
EML-2026-00209,398,63,0.7921,0,1,0,1,0,0,0,0
EML-2026-00210,586,94,0.8684,1,0,1,0,0,0,0,0
EML-2026-00211,1147,178,0.1133,4,0,0,2,1,1,0,1
EML-2026-00212,666,114,0.8938,1,0,0,4,1,1,1,1
EML-2026-00213,714,124,0.7883,1,0,0,1,1,0,0,1
EML-2026-00214,1183,211,0.8116,0,0,0,1,0,0,0,0
EML-2026-00215,517,98,0.1793,1,0,0,0,1,0,0,1
EML-2026-00216,510,87,0.728,0,0,0,3,0,0,0,0
EML-2026-00217,382,70,0.9159,1,0,0,0,1,0,0,0
EML-2026-00218,1252,196,0.6768,1,0,0,2,0,0,1,1
EML-2026-00219,1014,172,0.585,0,0,0,3,1,0,1,1
EML-2026-00220,1005,170,0.9038,3,0,0,1,0,0,1,1
EML-2026-00221,629,113,0.4765,0,1,0,1,1,1,0,1
EML-2026-00222,421,82,0.6094,3,0,1,0,1,1,1,1
EML-2026-00223,332,65,0.5049,1,0,0,1,0,0,0,0
EML-2026-00224,1100,195,0.8929,1,1,0,0,0,0,0,0
EML-2026-00225,819,159,0.1647,4,0,0,0,0,0,0,0
EML-2026-00226,880,148,0.526,0,0,0,0,0,0,0,0
EML-2026-00227,786,124,0.6839,1,0,0,0,0,0,0,1
EML-2026-00228,486,76,0.7731,0,0,0,1,0,0,0,0
EML-2026-00229,640,106,0.5956,1,1,0,1,0,1,0,1
EML-2026-00230,490,92,0.8726,2,1,0,3,1,1,0,1
EML-2026-00231,469,74,0.9007,4,0,1,2,1,0,0,1
EML-2026-00232,983,155,0.1547,1,0,0,2,0,1,1,1
EML-2026-00233,393,74,0.442,2,1,0,2,1,0,0,1
EML-2026-00234,441,72,0.1199,0,0,0,1,0,1,0,0
EML-2026-00235,603,111,0.38,2,1,0,1,1,0,0,0
EML-2026-00236,737,118,0.5563,0,0,0,0,1,0,0,1
EML-2026-00237,380,58,0.8742,0,0,0,0,0,0,0,0
EML-2026-00238,340,67,0.8196,0,0,0,0,0,0,0,0
EML-2026-00239,832,131,0.2084,2,0,1,2,1,1,0,1
EML-2026-00240,720,121,0.1791,0,0,1,0,0,1,0,0
EML-2026-00241,1143,176,0.6009,3,0,0,1,0,1,0,1
EML-2026-00242,742,130,0.5523,2,0,0,4,0,1,0,1
EML-2026-00243,862,137,0.3264,5,0,1,2,0,1,0,1
EML-2026-00244,497,97,0.8645,0,0,0,0,0,0,0,0
EML-2026-00245,505,91,0.8883,0,0,0,1,0,0,0,0
EML-2026-00246,445,87,0.4422,2,0,0,5,0,0,0,1
EML-2026-00247,498,77,0.8568,2,0,0,0,0,0,0,0
EML-2026-00248,636,102,0.4264,1,0,0,0,1,0,1,1
EML-2026-00249,1099,175,0.7263,1,0,0,2,0,0,1,1
EML-2026-00250,520,81,0.5046,3,0,0,2,0,0,1,1
EML-2026-00251,1420,276,0.2042,1,0,0,0,0,0,0,0
EML-2026-00252,840,150,0.8887,1,0,1,0,0,1,0,0
EML-2026-00253,824,161,0.486,1,0,0,2,0,0,0,1
EML-2026-00254,671,126,0.7243,1,0,0,0,0,0,0,0
EML-2026-00255,622,116,0.4121,1,0,0,1,0,0,0,0
EML-2026-00256,577,101,0.116,2,1,1,0,1,1,1,1
EML-2026-00257,424,78,0.1855,2,0,1,2,0,0,0,1
EML-2026-00258,526,102,0.5218,0,0,0,0,0,0,0,1
EML-2026-00259,1251,238,0.6865,1,0,0,1,1,0,0,1
EML-2026-00260,820,157,0.3845,0,0,1,0,0,0,0,0
EML-2026-00261,1247,193,0.6912,1,0,0,2,1,0,1,1
EML-2026-00262,572,93,0.6938,1,0,0,0,1,1,0,1
EML-2026-00263,435,67,0.6983,0,0,0,1,0,0,0,0
EML-2026-00264,718,126,0.5186,3,0,0,2,0,1,1,1
EML-2026-00265,533,98,0.8777,4,1,0,1,1,0,0,1
EML-2026-00266,772,124,0.5158,1,0,0,1,0,0,1,1
EML-2026-00267,395,71,0.4827,3,0,0,1,1,1,1,1
EML-2026-00268,335,61,0.2695,5,0,1,2,1,0,1,1
EML-2026-00269,762,142,0.3615,0,0,1,0,0,0,0,0
EML-2026-00270,1215,233,0.136,1,0,1,0,0,0,0,0
EML-2026-00271,825,153,0.6385,3,0,2,0,1,0,0,1
EML-2026-00272,867,156,0.3113,3,1,0,2,1,0,0,1
EML-2026-00273,729,121,0.3585,4,0,0,1,0,0,0,1
EML-2026-00274,755,148,0.7552,3,1,0,2,0,0,0,1
EML-2026-00275,417,78,0.3781,6,0,1,0,1,0,0,1
EML-2026-00276,540,86,0.3059,3,0,0,1,1,0,1,1
EML-2026-00277,1095,209,0.2437,2,0,2,2,1,0,0,1
EML-2026-00278,471,85,0.7586,2,0,0,3,0,1,0,1
EML-2026-00279,631,100,0.2103,2,1,1,3,1,1,0,1
EML-2026-00280,1087,207,0.4857,4,1,0,2,1,0,0,1
EML-2026-00281,747,145,0.5309,4,0,0,0,1,1,1,1
EML-2026-00282,711,124,0.6843,0,0,1,1,0,1,0,0
EML-2026-00283,583,106,0.6383,0,0,0,1,0,1,0,0
EML-2026-00284,864,147,0.7891,0,1,1,1,0,0,0,0
EML-2026-00285,996,160,0.138,0,0,0,2,0,0,0,1
EML-2026-00286,479,92,0.352,0,0,0,0,1,0,0,0
EML-2026-00287,380,64,0.3381,1,0,0,0,0,0,0,0
EML-2026-00288,356,61,0.2241,3,1,0,1,0,1,0,1
EML-2026-00289,802,153,0.3458,1,0,0,0,0,0,0,0
EML-2026-00290,816,137,0.3633,4,1,0,3,1,1,0,1
EML-2026-00291,1586,293,0.5436,1,0,0,2,0,0,0,0
EML-2026-00292,681,118,0.6641,1,0,0,0,0,0,0,0
EML-2026-00293,684,133,0.4239,3,0,0,1,1,0,0,1
EML-2026-00294,732,128,0.7115,1,0,0,0,0,0,0,0
EML-2026-00295,747,136,0.3857,0,1,1,0,0,0,0,0
EML-2026-00296,665,106,0.3467,1,0,0,2,0,1,1,1
EML-2026-00297,536,105,0.56,3,1,0,3,1,1,1,1
EML-2026-00298,667,118,0.1202,0,0,0,1,0,0,0,0
EML-2026-00299,707,124,0.1678,3,1,0,1,0,1,0,1
