email_id,sender_reply_mismatch,spf_result,dkim_result,dmarc_result,received_hop_count,has_auth_results_header,label
EML-2026-00001,0,pass,pass,pass,3,0,0
EML-2026-00002,0,pass,none,fail,9,0,1
EML-2026-00003,0,pass,pass,fail,2,1,1
EML-2026-00004,0,none,none,pass,4,0,1
EML-2026-00005,0,pass,pass,pass,5,1,0
EML-2026-00006,0,pass,fail,pass,3,1,0
EML-2026-00007,0,pass,pass,fail,2,1,0
EML-2026-00008,0,softfail,pass,pass,4,0,1
EML-2026-00009,0,fail,fail,pass,7,1,1
EML-2026-00010,1,pass,fail,fail,6,0,1
EML-2026-00011,0,pass,pass,pass,2,1,0
EML-2026-00012,1,softfail,none,fail,1,1,1
EML-2026-00013,0,softfail,none,none,4,0,1
EML-2026-00014,0,fail,pass,pass,5,1,0
EML-2026-00015,0,softfail,pass,none,1,1,0
EML-2026-00016,0,pass,pass,pass,3,1,0
EML-2026-00017,0,pass,pass,pass,3,1,0
EML-2026-00018,0,pass,fail,fail,3,1,1
EML-2026-00019,0,pass,fail,pass,3,1,0
EML-2026-00020,0,pass,pass,pass,1,1,0
EML-2026-00021,0,softfail,pass,pass,4,1,1
EML-2026-00022,0,pass,pass,pass,0,1,0
EML-2026-00023,0,pass,pass,fail,4,1,0
EML-2026-00024,0,pass,pass,pass,2,1,0
EML-2026-00025,0,pass,pass,pass,1,1,0
EML-2026-00026,1,softfail,pass,fail,0,1,1
EML-2026-00027,0,pass,pass,pass,1,1,0
EML-2026-00028,0,fail,pass,none,2,1,1
EML-2026-00029,1,pass,fail,fail,5,0,1
EML-2026-00030,0,pass,pass,pass,2,1,0
EML-2026-00031,1,pass,pass,fail,0,1,1
EML-2026-00032,0,pass,pass,none,4,1,0
EML-2026-00033,0,pass,pass,fail,4,1,0
EML-2026-00034,0,fail,fail,fail,4,1,1
EML-2026-00035,0,pass,pass,fail,2,1,1
EML-2026-00036,0,fail,fail,fail,3,1,1
EML-2026-00037,0,pass,pass,pass,5,1,0
EML-2026-00038,0,pass,pass,pass,2,1,0
EML-2026-00039,1,fail,pass,fail,4,0,1
EML-2026-00040,0,pass,pass,pass,0,1,0
EML-2026-00041,0,pass,fail,pass,1,1,0
EML-2026-00042,0,pass,pass,pass,1,1,0
EML-2026-00043,0,pass,pass,pass,2,1,0
EML-2026-00044,1,none,none,fail,4,0,1
EML-2026-00045,0,pass,pass,pass,3,1,0
EML-2026-00046,1,fail,fail,pass,7,1,1
EML-2026-00047,0,pass,none,pass,2,1,0
EML-2026-00048,1,pass,none,none,4,1,1
EML-2026-00049,1,softfail,fail,fail,5,1,1
EML-2026-00050,0,pass,pass,pass,2,1,0
EML-2026-00051,1,fail,pass,none,6,1,1
EML-2026-00052,1,fail,none,pass,3,1,1
EML-2026-00053,0,pass,none,none,2,1,1
EML-2026-00054,0,fail,fail,pass,7,1,1
EML-2026-00055,1,softfail,fail,pass,4,0,1
EML-2026-00056,1,fail,fail,fail,2,1,1
EML-2026-00057,0,pass,pass,pass,6,1,0
EML-2026-00058,0,pass,pass,pass,1,1,0
EML-2026-00059,0,pass,pass,pass,3,1,0
EML-2026-00060,0,pass,pass,pass,1,1,0
EML-2026-00061,0,pass,pass,pass,2,1,0
EML-2026-00062,0,pass,pass,pass,1,1,0
EML-2026-00063,1,softfail,fail,pass,3,0,1
EML-2026-00064,1,fail,pass,pass,1,1,0
EML-2026-00065,0,pass,pass,pass,2,1,0
EML-2026-00066,0,none,fail,pass,4,1,1
EML-2026-00067,0,pass,fail,pass,2,1,0
