sha256,filename,file_type,mime_type,file_size_bytes,signature,delivery_method,is_executable,is_archived,entropy_score,label
34b1bd5357cc923cd678b1254da733e5dfa016d6dda920d32a9afa3a0f2e7709,malicious_95_Invoice_2026.exe,exe,application/x-msdownload,78250,Emotet,email_attachment,1,0,7.45,1
805182d27f3ffeaac427690ecf41897e3ed785c99a46363b4074ea01c12e06a9,malicious_15_Invoice_2026.exe,exe,application/x-msdownload,50250,Emotet,email_attachment,1,0,7.45,1
0d89531fabb44fb45ca6db304654dd05c6d7714cde93be5ed8e82c888254e242,malicious_30_Invoice_2026.exe,exe,application/x-msdownload,55500,Emotet,email_attachment,1,0,7.45,1
bcaf01998a083d067e3f7c8bafc550bd465c5e97e5e0895dc81c31961d4c0c73,enron_58_Project_Schedule_2026.xlsx,xlsx,application/xlsx,28920,Clean,clean_corporate,0,0,4.12,0
366a02a9bb2f7e23dc52f83fd31727561a5663671cdc0209307f387a3d739256,enron_28_Organizational_Chart.pptx,pptx,application/pptx,21720,Clean,clean_corporate,0,0,4.12,0
6932a54097a95542382df26c9e4d3415091e3e82a704d96d3a654f822474d37c,enron_15_Press_Release.txt,txt,application/txt,18600,Clean,clean_corporate,0,0,4.12,0
c00ed5db9177fd1d3406f2014c6d70983b5c47593b696eceabfd4bb29ab8ecf0,malicious_69_Scan_Notice.vbs,vbs,text/vbscript,69150,AsyncRAT,email_attachment,1,0,7.45,1
3adf4d85106541a8e19d8652ce00cab3fd03837e299f5d01e3d500fc959faa3e,enron_70_Invoice_Summary.xlsx,xlsx,application/xlsx,31800,Clean,clean_corporate,0,0,4.12,0
b786d770a6fb38eb5e490fb94137eaa5eb084e22b82e973ad4ca9b4b15a871ec,enron_74_Project_Schedule_2026.xlsx,xlsx,application/xlsx,32760,Clean,clean_corporate,0,0,4.12,0
f40f3211885361fc5110b47a5bf8b78e35f97e2665283899d28f8fdbcfe8abca,malicious_45_Invoice_2026.exe,exe,application/x-msdownload,60750,Emotet,email_attachment,1,0,7.45,1
08288da359a3b57f6fc1f667b4dec8b3a54040a27a13a6e15225973af56faadd,malicious_66_Payment_Receipt.iso,iso,application/x-iso9660-image,68100,AgentTesla,email_attachment,0,1,7.45,1
ee4ca2164719ce68ac7df62a42b613501a7132f924dc8ff897c64f92056b4595,enron_82_Project_Schedule_2026.xlsx,xlsx,application/xlsx,34680,Clean,clean_corporate,0,0,4.12,0
d051740ad9ef5160ca51931fe99fb6c06a41a568e89b2c32474b1f6c3583a514,enron_65_Staff_Meeting_Minutes.docx,docx,application/docx,30600,Clean,clean_corporate,0,0,4.12,0
9cb78521283aa06356f25a5ef730e59da6565553efcb7586930c0ec6fdd7a2ab,malicious_78_Document_Update.zip,zip,application/zip,72300,Formbook,email_attachment,0,1,7.45,1
68a6b9bf8122b45b8db53caa43c15db24408a58c65c21508628384b30ed8e104,enron_86_Invoice_Summary.xlsx,xlsx,application/xlsx,35640,Clean,clean_corporate,0,0,4.12,0
efb917c5a0377f11d263fc35dcbd758c1b5d6c39dea7ff137466d8bb8d5e7c37,enron_77_Vendor_Contract_Draft.docx,docx,application/docx,33480,Clean,clean_corporate,0,0,4.12,0
2d1a88138178f84f36a856b2b041b767dcaa062cd41a99793197ac72bd669744,malicious_56_Payment_Receipt.iso,iso,application/x-iso9660-image,64600,AgentTesla,email_attachment,0,1,7.45,1
3c72e9be2193e7c0fd382b7a8066609ad3c21b2a9cbc954e6e173e31dad9fb1c,enron_52_Organizational_Chart.pptx,pptx,application/pptx,27480,Clean,clean_corporate,0,0,4.12,0
d0b100a133652c8e541f8b6eaf1ccab6a990fbc4ed20ecec6889b88c1d422246,malicious_82_Urgent_Order.js,js,application/javascript,73700,QakBot,email_attachment,1,0,7.45,1
e0d8329959a43b27154be06d113360ecd2770f365c21682c976260c0fb8bb8af,malicious_68_Document_Update.zip,zip,application/zip,68800,Formbook,email_attachment,0,1,7.45,1
d9de205d3f653b65a12d7f38f5425c475e9272fb4522c39ceecb73e1c88ef9f6,enron_24_Q3_Financial_Report.pdf,pdf,application/pdf,20760,Clean,clean_corporate,0,0,4.12,0
a2406b60804da24260b84a2944f7566086841296d2136f402487eacf8e438b12,malicious_16_Payment_Receipt.iso,iso,application/x-iso9660-image,50600,AgentTesla,email_attachment,0,1,7.45,1
f0777face567404008d676ae41355adb3c97d17ed274786bac2e907b8eba5e9b,enron_48_Q3_Financial_Report.pdf,pdf,application/pdf,26520,Clean,clean_corporate,0,0,4.12,0
6cd4e219cc386b70745d2a4acfa13687575e44de63e7fa6f59b240ad23d09326,malicious_93_Document_Update.zip,zip,application/zip,77550,Formbook,email_attachment,0,1,7.45,1
bafb4199af504067c360bd364e440537fa5d3dd4fa87aede17ac3c912ce1b7a6,malicious_65_Invoice_2026.exe,exe,application/x-msdownload,67750,Emotet,email_attachment,1,0,7.45,1
011f2ba05dc95b636b896c1d8aed68ae19fbe1f65952041b65113212763d8362,malicious_60_Invoice_2026.exe,exe,application/x-msdownload,66000,Emotet,email_attachment,1,0,7.45,1
462eb7823b2febd87345f07c52dd275b2f30106ba1415b6c0a6428664e5dc20f,malicious_84_Scan_Notice.vbs,vbs,text/vbscript,74400,AsyncRAT,email_attachment,1,0,7.45,1
e227a950eb9f7f2cb5ff034aaa1906906ce8eb5d223fd315d08d619e7e43f74a,malicious_67_Urgent_Order.js,js,application/javascript,68450,QakBot,email_attachment,1,0,7.45,1
ebe5c127182416a86ca5b5ddc8818362cca4a9d7f68da4e16166dad4a0f6ed95,enron_25_Staff_Meeting_Minutes.docx,docx,application/docx,21000,Clean,clean_corporate,0,0,4.12,0
bc03e84605e6417a98deebbfd4e74e025be2d90ff0044e6cf24b9e4e922ed94b,enron_32_Q3_Financial_Report.pdf,pdf,application/pdf,22680,Clean,clean_corporate,0,0,4.12,0
2ddf83987be48ed988b22e8eb98aa546705498dfad8553ee27458d4e3b7e3fba,malicious_9_Scan_Notice.vbs,vbs,text/vbscript,48150,AsyncRAT,email_attachment,1,0,7.45,1
a5ebf6d37b30b0172cc6b1c96631416cfe0fafe6369eb22c9f5e4264a867d4aa,malicious_18_Document_Update.zip,zip,application/zip,51300,Formbook,email_attachment,0,1,7.45,1
4afaab0af696bc1d3374c8c97cc48e3a29bbc9c3f92cb84995f38c6db7db830d,malicious_55_Invoice_2026.exe,exe,application/x-msdownload,64250,Emotet,email_attachment,1,0,7.45,1
56dd94ab41ada515db549a8d9b923abfdc40082091a7931f455f93b88d3d4e21,malicious_75_Invoice_2026.exe,exe,application/x-msdownload,71250,Emotet,email_attachment,1,0,7.45,1
0298389ab9a34b33531e3ab3952f125492548d3e9320cd4cde1f1da3ec5b28cb,enron_50_Project_Schedule_2026.xlsx,xlsx,application/xlsx,27000,Clean,clean_corporate,0,0,4.12,0
c940f8dba2333dfef61665e490ef6a049537d3d5e5a188169f499e5de44a6a57,enron_4_Organizational_Chart.pptx,pptx,application/pptx,15960,Clean,clean_corporate,0,0,4.12,0
7b2901fd1ac8d751513244e1661bb8455c0b2064f40b4b72a6aa71f55254e821,enron_35_Budget_Proposal.pdf,pdf,application/pdf,23400,Clean,clean_corporate,0,0,4.12,0
002f1a01ca2a7e89329ca36d3592351b9ce29f7545ab84e4a178db5aec62b8d9,enron_37_Vendor_Contract_Draft.docx,docx,application/docx,23880,Clean,clean_corporate,0,0,4.12,0
892fa8b677e9dd1b414486683b4de1929d0796bd88e9a84fcc89dbc20fbd9a2d,enron_64_Q3_Financial_Report.pdf,pdf,application/pdf,30360,Clean,clean_corporate,0,0,4.12,0
e72e1f3ba7b836ec469565405ba57346cb8d5ab9c66d35a2328e2dc6f3adbd66,malicious_76_Payment_Receipt.iso,iso,application/x-iso9660-image,71600,AgentTesla,email_attachment,0,1,7.45,1
