attachment_id,file_size_bytes,entropy_score,is_executable,is_archived,filename_length,number_of_dots,double_extension,extension_mime_mismatch,label
ATT-2026-00001,78250,7.45,1,0,29,1,0,0,1
ATT-2026-00002,50250,7.45,1,0,29,1,0,0,1
ATT-2026-00003,55500,7.45,1,0,29,1,0,0,1
ATT-2026-00004,28920,4.12,0,0,35,1,0,0,0
ATT-2026-00005,21720,4.12,0,0,34,1,0,0,0
ATT-2026-00006,18600,4.12,0,0,26,1,0,0,0
ATT-2026-00007,69150,7.45,1,0,28,1,0,0,1
ATT-2026-00008,31800,4.12,0,0,29,1,0,0,0
ATT-2026-00009,32760,4.12,0,0,35,1,0,0,0
ATT-2026-00010,60750,7.45,1,0,29,1,0,0,1
ATT-2026-00011,68100,7.45,0,1,32,1,0,0,1
ATT-2026-00012,34680,4.12,0,0,35,1,0,0,0
ATT-2026-00013,30600,4.12,0,0,35,1,0,0,0
ATT-2026-00014,72300,7.45,0,1,32,1,0,0,1
ATT-2026-00015,35640,4.12,0,0,29,1,0,0,0
ATT-2026-00016,33480,4.12,0,0,35,1,0,0,0
ATT-2026-00017,64600,7.45,0,1,32,1,0,0,1
ATT-2026-00018,27480,4.12,0,0,34,1,0,0,0
ATT-2026-00019,73700,7.45,1,0,28,1,0,0,1
ATT-2026-00020,68800,7.45,0,1,32,1,0,0,1
ATT-2026-00021,20760,4.12,0,0,32,1,0,0,0
ATT-2026-00022,50600,7.45,0,1,32,1,0,0,1
ATT-2026-00023,26520,4.12,0,0,32,1,0,0,0
ATT-2026-00024,77550,7.45,0,1,32,1,0,0,1
ATT-2026-00025,67750,7.45,1,0,29,1,0,0,1
ATT-2026-00026,66000,7.45,1,0,29,1,0,0,1
ATT-2026-00027,74400,7.45,1,0,28,1,0,0,1
ATT-2026-00028,68450,7.45,1,0,28,1,0,0,1
ATT-2026-00029,21000,4.12,0,0,35,1,0,0,0
ATT-2026-00030,22680,4.12,0,0,32,1,0,0,0
ATT-2026-00031,48150,7.45,1,0,27,1,0,0,1
ATT-2026-00032,51300,7.45,0,1,32,1,0,0,1
ATT-2026-00033,64250,7.45,1,0,29,1,0,0,1
ATT-2026-00034,71250,7.45,1,0,29,1,0,0,1
ATT-2026-00035,27000,4.12,0,0,35,1,0,0,0
