record_id,domain,tld,domain_length,sld_length,num_labels,subdomain_count,digit_count,hyphen_count,entropy,suspicious_keyword_count,brand_token_count,digit_ratio,hyphen_ratio,domain_age_days,rdap_status,dnssec,dns_status,a_count,aaaa_count,mx_count,ns_count,txt_count,cname_count,min_ttl,max_ttl,has_spf,has_dmarc,label,source,source_type,data_quality_status,subdomain_length,max_subdomain_length,special_character_count,special_character_ratio,has_ip_address,has_punycode,has_numeric_subdomain,registrar,registration_country,domain_status,nameserver_count
D000001,unlock-microsoft.info,info,21,16,2,0,0,1,3.6304,0,1,0.0,0.0476,49,active,1,NOERROR,2,0,0,3,0,0,120,480,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000002,update-microsoft-secure.click,click,29,23,2,0,0,2,3.9354,2,1,0.0,0.069,128,active,0,NOERROR,2,1,0,2,2,0,60,60,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000003,github-4900.net,net,15,11,2,0,4,1,3.6402,0,0,0.2667,0.0667,4406,active,1,NOERROR,3,1,1,5,4,2,300,300,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000004,mail-cloudflare.gov,gov,19,15,2,0,0,1,3.7871,0,0,0.0,0.0526,4605,active,0,NOERROR,2,2,0,2,8,2,300,1200,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000005,microsoft-secure-verify.xyz,xyz,27,23,2,0,0,2,3.8842,2,1,0.0,0.0741,160,active,1,NOERROR,2,1,0,2,2,1,60,240,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000006,recovery-apple-secure.info,info,26,21,2,0,0,2,3.7633,1,1,0.0,0.0769,40,active,0,NOERROR,1,0,0,3,0,0,300,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000007,outlook-verification-792.live,live,29,24,2,0,3,2,3.9614,0,0,0.1034,0.069,36,active,0,NOERROR,2,1,1,2,1,1,300,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000008,confirm-microsoft.click,click,23,17,2,0,0,1,3.5014,1,1,0.0,0.0435,64,active,0,NOERROR,2,1,0,2,1,0,600,2400,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000009,login-account-apple.xyz,xyz,23,19,2,0,0,2,3.9149,2,1,0.0,0.087,81,active,0,NOERROR,2,0,0,3,1,0,60,120,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000010,apple-2958.org,org,14,10,2,0,4,1,3.6645,0,1,0.2857,0.0714,8190,active,1,NOERROR,1,2,1,4,8,1,600,1200,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000011,login-apple-secure.click,click,24,18,2,0,0,2,3.7406,2,1,0.0,0.0833,128,active,0,NOERROR,1,0,0,3,1,1,120,240,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
